"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"Overall","Season peak week","week","Bin","40","41",0.00103333300103333
"Overall","Season peak week","week","Bin","41","42",0.00103333300103333
"Overall","Season peak week","week","Bin","42","43",0.00103333300103333
"Overall","Season peak week","week","Bin","43","44",0.00103333400103333
"Overall","Season peak week","week","Bin","44","45",0.00103333400103333
"Overall","Season peak week","week","Bin","45","46",0.00103333400103333
"Overall","Season peak week","week","Bin","46","47",0.00103333400103333
"Overall","Season peak week","week","Bin","47","48",0.00103333500103333
"Overall","Season peak week","week","Bin","48","49",0.00103333600103334
"Overall","Season peak week","week","Bin","49","50",0.00103333700103334
"Overall","Season peak week","week","Bin","50","51",0.00103334000103334
"Overall","Season peak week","week","Bin","51","52",0.00103334600103335
"Overall","Season peak week","week","Bin","52","53",0.00103335900103336
"Overall","Season peak week","week","Bin","1","2",0.00103338800103339
"Overall","Season peak week","week","Bin","2","3",0.00103345900103346
"Overall","Season peak week","week","Bin","3","4",0.00103365300103365
"Overall","Season peak week","week","Bin","4","5",0.00103424700103425
"Overall","Season peak week","week","Bin","5","6",0.00103638100103638
"Overall","Season peak week","week","Bin","6","7",0.00104583000104583
"Overall","Season peak week","week","Bin","7","8",0.0011014010011014
"Overall","Season peak week","week","Bin","8","9",0.00158869300158869
"Overall","Season peak week","week","Bin","9","10",0.00889358600889359
"Overall","Season peak week","week","Bin","10","11",0.155882078155882
"Overall","Season peak week","week","Bin","11","12",0.643335926643336
"Overall","Season peak week","week","Bin","12","13",0.155882078155882
"Overall","Season peak week","week","Bin","13","14",0.00889358600889359
"Overall","Season peak week","week","Bin","14","15",0.00158869300158869
"Overall","Season peak week","week","Bin","15","16",0.0011014010011014
"Overall","Season peak week","week","Bin","16","17",0.00104583000104583
"Overall","Season peak week","week","Bin","17","18",0.00103638100103638
"Overall","Season peak percentage","percent","Bin","0","0.1",0.001000006
"Overall","Season peak percentage","percent","Bin","0.1","0.2",0.001000007
"Overall","Season peak percentage","percent","Bin","0.2","0.3",0.001000009
"Overall","Season peak percentage","percent","Bin","0.3","0.4",0.00100001
"Overall","Season peak percentage","percent","Bin","0.4","0.5",0.001000012
"Overall","Season peak percentage","percent","Bin","0.5","0.6",0.001000014
"Overall","Season peak percentage","percent","Bin","0.6","0.7",0.001000016
"Overall","Season peak percentage","percent","Bin","0.7","0.8",0.001000019
"Overall","Season peak percentage","percent","Bin","0.8","0.9",0.001000022
"Overall","Season peak percentage","percent","Bin","0.9","1",0.001000026
"Overall","Season peak percentage","percent","Bin","1","1.1",0.001000031
"Overall","Season peak percentage","percent","Bin","1.1","1.2",0.001000037
"Overall","Season peak percentage","percent","Bin","1.2","1.3",0.001000045
"Overall","Season peak percentage","percent","Bin","1.3","1.4",0.001000054
"Overall","Season peak percentage","percent","Bin","1.4","1.5",0.001000065
"Overall","Season peak percentage","percent","Bin","1.5","1.6",0.001000078
"Overall","Season peak percentage","percent","Bin","1.6","1.7",0.001000096
